serial_number,first_observation_date,last_observation_date,observed_days,is_failed,overall_max_probability,overall_mean_probability,failure_date,eligible_max_probability,eligible_mean_probability,eligible_observed_days,alerted_primary,alert_days_primary,first_alert_date_primary,alerted_high_recall,alert_days_high_recall,first_alert_date_high_recall,error_group,lead_time_days_primary,lead_time_days_high_recall,probability_gap_to_primary,failure_detection_tier,first_primary_alert_date,last_primary_alert_date,primary_alert_span_days,longest_consecutive_primary_alert_run,days_from_last_alert_to_last_observation,alert_pattern,possible_right_censoring
20W0A0B4F9RG,2023-10-04,2023-12-31,33,0,0.9954301703146493,0.9224459671420867,,0.9954301703146493,0.9224459671420867,33,True,33,2023-10-04,True,33,2023-10-04,false_positive,,,-0.29543017031464935,not_a_failed_drive,2023-10-04,2023-12-31,89,4,0.0,repeated_nonpersistent_alerts,True
2210A01SFV8G,2023-10-06,2023-12-31,26,0,0.8610950714996023,0.8273296715571458,,0.8610950714996023,0.8273296715571458,26,True,26,2023-10-06,True,26,2023-10-06,false_positive,,,-0.16109507149960234,not_a_failed_drive,2023-10-06,2023-12-31,87,4,0.0,repeated_nonpersistent_alerts,True
2250A03BFVKG,2023-10-02,2023-12-31,26,0,0.7169926097390247,0.36127097474097386,,0.7169926097390247,0.36127097474097386,26,True,1,2023-12-31,True,1,2023-12-31,false_positive,,,-0.016992609739024722,not_a_failed_drive,2023-12-31,2023-12-31,1,1,0.0,single_day_spike,True
22D0A0JEFV8G,2023-10-01,2023-12-31,26,0,0.7085091781368064,0.6718936983923213,,0.7085091781368064,0.6718936983923213,26,True,5,2023-12-17,True,26,2023-10-01,false_positive,,,-0.008509178136806406,not_a_failed_drive,2023-12-17,2023-12-31,15,2,0.0,repeated_nonpersistent_alerts,True
2AGDK79Y,2023-10-01,2023-12-30,24,0,0.9920749436437852,0.890466648851188,,0.9920749436437852,0.890466648851188,24,True,24,2023-10-01,True,24,2023-10-01,false_positive,,,-0.2920749436437853,not_a_failed_drive,2023-10-01,2023-12-30,91,3,0.0,repeated_nonpersistent_alerts,True
2AGGHAVY,2023-10-01,2023-12-29,28,0,0.8951033275491926,0.7070424103607168,,0.8951033275491926,0.7070424103607168,28,True,9,2023-11-28,True,28,2023-10-01,false_positive,,,-0.19510332754919268,not_a_failed_drive,2023-11-28,2023-12-29,32,2,0.0,repeated_nonpersistent_alerts,True
2AGH31WY,2023-10-01,2023-12-30,27,0,1.0,1.0,,1.0,1.0,27,True,27,2023-10-01,True,27,2023-10-01,false_positive,,,-0.30000000000000004,not_a_failed_drive,2023-10-01,2023-12-30,91,4,0.0,repeated_nonpersistent_alerts,True
2AGHEPGY,2023-10-08,2023-11-09,12,0,0.76030412931581,0.4518578130114737,,0.76030412931581,0.4518578130114737,12,True,3,2023-11-07,True,5,2023-10-25,false_positive,,,-0.060304129315810084,not_a_failed_drive,2023-11-07,2023-11-09,3,3,0.0,repeated_nonpersistent_alerts,True
2AGHPHZY,2023-10-01,2023-11-23,27,0,0.8642934255661368,0.648866994959827,,0.8642934255661368,0.648866994959827,27,True,8,2023-11-02,True,27,2023-10-01,false_positive,,,-0.1642934255661368,not_a_failed_drive,2023-11-02,2023-11-23,22,3,0.0,repeated_nonpersistent_alerts,True
2AGHSUWY,2023-10-16,2023-12-27,22,0,1.0,1.0,,1.0,1.0,22,True,22,2023-10-16,True,22,2023-10-16,false_positive,,,-0.30000000000000004,not_a_failed_drive,2023-10-16,2023-12-27,73,2,0.0,repeated_nonpersistent_alerts,True
2AGHTBYY,2023-10-05,2023-12-27,26,0,0.8690006775004083,0.7089247980739389,,0.8690006775004083,0.7089247980739389,26,True,8,2023-10-05,True,26,2023-10-05,false_positive,,,-0.16900067750040837,not_a_failed_drive,2023-10-05,2023-11-02,29,2,55.0,repeated_nonpersistent_alerts,False
2AGKT7NY,2023-10-02,2023-12-30,23,0,0.7486983482166739,0.7017126455207425,,0.7486983482166739,0.7017126455207425,23,True,13,2023-10-21,True,23,2023-10-02,false_positive,,,-0.04869834821667396,not_a_failed_drive,2023-10-21,2023-12-30,71,2,0.0,repeated_nonpersistent_alerts,True
2AGM23AY,2023-10-03,2023-12-31,35,0,0.8405697059943824,0.49260238502777504,,0.8405697059943824,0.49260238502777504,35,True,7,2023-12-17,True,35,2023-10-03,false_positive,,,-0.14056970599438245,not_a_failed_drive,2023-12-17,2023-12-31,15,2,0.0,repeated_nonpersistent_alerts,True
2AGM29VY,2023-10-04,2023-12-20,25,0,0.9999999999997424,0.9999990035492082,,0.9999999999997424,0.9999990035492082,25,True,25,2023-10-04,True,25,2023-10-04,false_positive,,,-0.2999999999997425,not_a_failed_drive,2023-10-04,2023-12-20,78,5,0.0,repeated_nonpersistent_alerts,True
2AGM6HEY,2023-10-03,2023-12-31,30,0,0.999999794373973,0.9999992153504619,,0.999999794373973,0.9999992153504619,30,True,30,2023-10-03,True,30,2023-10-03,false_positive,,,-0.29999979437397306,not_a_failed_drive,2023-10-03,2023-12-31,90,2,0.0,repeated_nonpersistent_alerts,True
2AGM8J9Y,2023-10-01,2023-12-30,25,0,0.7060621169975843,0.6038743588652432,,0.7060621169975843,0.6038743588652432,25,True,4,2023-10-31,True,25,2023-10-01,false_positive,,,-0.006062116997584299,not_a_failed_drive,2023-10-31,2023-12-08,39,1,22.0,repeated_nonpersistent_alerts,False
2AGM8KYY,2023-10-01,2023-12-31,37,0,1.0,0.8938888747214045,,1.0,0.8938888747214045,37,True,27,2023-10-18,True,37,2023-10-01,false_positive,,,-0.30000000000000004,not_a_failed_drive,2023-10-18,2023-12-31,75,3,0.0,repeated_nonpersistent_alerts,True
2AGM8WGY,2023-10-06,2023-12-28,23,0,0.9999510089495603,0.960226350075997,,0.9999510089495603,0.960226350075997,23,True,23,2023-10-06,True,23,2023-10-06,false_positive,,,-0.2999510089495604,not_a_failed_drive,2023-10-06,2023-12-28,84,3,0.0,repeated_nonpersistent_alerts,True
2AGM9HVY,2023-10-01,2023-12-31,30,0,0.9802584541327012,0.9578024541302244,,0.9802584541327012,0.9578024541302244,30,True,30,2023-10-01,True,30,2023-10-01,false_positive,,,-0.28025845413270123,not_a_failed_drive,2023-10-01,2023-12-31,92,4,0.0,repeated_nonpersistent_alerts,True
2AGME21Y,2023-10-01,2023-12-15,21,0,0.9446199750891607,0.7726404252156487,,0.9446199750891607,0.7726404252156487,21,True,16,2023-10-16,True,21,2023-10-01,false_positive,,,-0.24461997508916078,not_a_failed_drive,2023-10-16,2023-12-15,61,3,0.0,repeated_nonpersistent_alerts,True
2AGMHRYY,2023-10-05,2023-12-29,31,0,0.9467923771032394,0.6963666210238111,,0.9467923771032394,0.6963666210238111,31,True,14,2023-12-06,True,31,2023-10-05,false_positive,,,-0.24679237710323942,not_a_failed_drive,2023-12-06,2023-12-29,24,4,0.0,repeated_nonpersistent_alerts,True
2AGMHW5Y,2023-10-01,2023-12-29,27,0,0.8143231811345736,0.42915653237907353,,0.8143231811345736,0.42915653237907353,27,True,5,2023-12-16,True,7,2023-12-04,false_positive,,,-0.11432318113457363,not_a_failed_drive,2023-12-16,2023-12-29,14,2,0.0,repeated_nonpersistent_alerts,True
2AGMHY8Y,2023-10-04,2023-12-25,28,0,0.986807960221274,0.6152458473067252,,0.986807960221274,0.6152458473067252,28,True,13,2023-11-09,True,18,2023-10-23,false_positive,,,-0.2868079602212741,not_a_failed_drive,2023-11-09,2023-12-25,47,3,0.0,repeated_nonpersistent_alerts,True
2AGMLZTY,2023-10-07,2023-12-22,23,0,0.9999999995599935,0.99999999267617,,0.9999999995599935,0.99999999267617,23,True,23,2023-10-07,True,23,2023-10-07,false_positive,,,-0.29999999955999357,not_a_failed_drive,2023-10-07,2023-12-22,77,4,0.0,repeated_nonpersistent_alerts,True
2AGMM0UY,2023-10-01,2023-12-31,29,0,0.9999999999999594,0.999999999999958,,0.9999999999999594,0.999999999999958,29,True,29,2023-10-01,True,29,2023-10-01,false_positive,,,-0.2999999999999594,not_a_failed_drive,2023-10-01,2023-12-31,92,4,0.0,repeated_nonpersistent_alerts,True
2AGMM53Y,2023-10-03,2023-11-19,17,0,0.9999841864876093,0.6105616771274365,,0.9999841864876093,0.6105616771274365,17,True,7,2023-10-28,True,8,2023-10-26,false_positive,,,-0.2999841864876094,not_a_failed_drive,2023-10-28,2023-11-19,23,2,0.0,repeated_nonpersistent_alerts,True
2AGMM6WY,2023-10-04,2023-12-14,18,0,0.9375720751541784,0.5349672596332538,,0.9375720751541784,0.5349672596332538,18,True,2,2023-12-13,True,12,2023-10-25,false_positive,,,-0.23757207515417844,not_a_failed_drive,2023-12-13,2023-12-14,2,2,0.0,short_alert_burst,True
2AGMN00Y,2023-10-03,2023-10-14,5,0,1.0,1.0,,1.0,1.0,5,True,5,2023-10-03,True,5,2023-10-03,false_positive,,,-0.30000000000000004,not_a_failed_drive,2023-10-03,2023-10-14,12,1,0.0,repeated_nonpersistent_alerts,True
2AGMNARY,2023-10-04,2023-10-13,3,0,0.7819707013569822,0.7569330210410831,,0.7819707013569822,0.7569330210410831,3,True,3,2023-10-04,True,3,2023-10-04,false_positive,,,-0.08197070135698226,not_a_failed_drive,2023-10-04,2023-10-13,10,1,0.0,repeated_nonpersistent_alerts,True
2AGMNERY,2023-10-04,2023-12-31,28,0,0.8471058669616862,0.6464026119540522,,0.8471058669616862,0.6464026119540522,28,True,11,2023-11-05,True,28,2023-10-04,false_positive,,,-0.14710586696168626,not_a_failed_drive,2023-11-05,2023-12-08,34,3,23.0,repeated_nonpersistent_alerts,False
2AGMNGJY,2023-10-01,2023-12-29,33,0,0.9920403025602335,0.9383382622430746,,0.9920403025602335,0.9383382622430746,33,True,32,2023-10-01,True,32,2023-10-01,false_positive,,,-0.2920403025602335,not_a_failed_drive,2023-10-01,2023-12-29,90,3,0.0,repeated_nonpersistent_alerts,True
2AGMNHJY,2023-10-01,2023-12-30,24,0,0.847111847402676,0.8304810511401844,,0.847111847402676,0.8304810511401844,24,True,24,2023-10-01,True,24,2023-10-01,false_positive,,,-0.14711184740267602,not_a_failed_drive,2023-10-01,2023-12-30,91,2,0.0,repeated_nonpersistent_alerts,True
2AGMR26Y,2023-10-04,2023-12-31,27,0,0.8238495200111444,0.5878685459292833,,0.8238495200111444,0.5878685459292833,27,True,12,2023-10-10,True,27,2023-10-04,false_positive,,,-0.12384952001114446,not_a_failed_drive,2023-10-10,2023-11-12,34,2,49.0,repeated_nonpersistent_alerts,False
2AGMRDVY,2023-10-02,2023-12-31,28,0,0.9996173700697394,0.6905178979816708,,0.9996173700697394,0.6905178979816708,28,True,10,2023-11-29,True,28,2023-10-02,false_positive,,,-0.29961737006973943,not_a_failed_drive,2023-11-29,2023-12-31,33,2,0.0,repeated_nonpersistent_alerts,True
2AGMSPUY,2023-10-01,2023-12-27,26,0,0.8451553788156548,0.7221533162443771,,0.8451553788156548,0.7221533162443771,26,True,17,2023-10-01,True,26,2023-10-01,false_positive,,,-0.14515537881565488,not_a_failed_drive,2023-10-01,2023-11-18,49,4,39.0,repeated_nonpersistent_alerts,False
2AGN025Y,2023-10-02,2023-12-31,26,0,0.9999990944317396,0.9850113951229956,,0.9999990944317396,0.9850113951229956,26,True,25,2023-10-08,True,26,2023-10-02,false_positive,,,-0.29999909443173967,not_a_failed_drive,2023-10-08,2023-12-31,85,3,0.0,repeated_nonpersistent_alerts,True
2AGN02BY,2023-10-01,2023-12-21,23,0,0.7847461309248936,0.7564234265217786,,0.7847461309248936,0.7564234265217786,23,True,23,2023-10-01,True,23,2023-10-01,false_positive,,,-0.08474613092489369,not_a_failed_drive,2023-10-01,2023-12-21,82,3,0.0,repeated_nonpersistent_alerts,True
2AGN08DY,2023-10-05,2023-12-31,20,0,0.9244463252531259,0.600075446900684,,0.9244463252531259,0.600075446900684,20,True,4,2023-12-07,True,20,2023-10-05,false_positive,,,-0.2244463252531259,not_a_failed_drive,2023-12-07,2023-12-31,25,1,0.0,repeated_nonpersistent_alerts,True
2AGN08UY,2023-10-11,2023-12-28,24,0,0.9965829760521558,0.9942192088223417,,0.9965829760521558,0.9942192088223417,24,True,24,2023-10-11,True,24,2023-10-11,false_positive,,,-0.2965829760521559,not_a_failed_drive,2023-10-11,2023-12-28,79,3,0.0,repeated_nonpersistent_alerts,True
2AGN64YY,2023-10-03,2023-12-25,23,0,0.7378074646354216,0.5117576055377326,,0.7378074646354216,0.5117576055377326,23,True,2,2023-12-23,True,23,2023-10-03,false_positive,,,-0.03780746463542162,not_a_failed_drive,2023-12-23,2023-12-25,3,1,0.0,short_alert_burst,True
2AGN8EGY,2023-10-05,2023-12-30,28,0,0.8156997100783581,0.4825833506626206,,0.8156997100783581,0.4825833506626206,28,True,3,2023-12-26,True,28,2023-10-05,false_positive,,,-0.11569971007835811,not_a_failed_drive,2023-12-26,2023-12-30,5,2,0.0,repeated_nonpersistent_alerts,True
2AGN90RY,2023-10-04,2023-12-05,25,0,0.7579918526011329,0.589484713712084,,0.7579918526011329,0.589484713712084,25,True,6,2023-11-11,True,25,2023-10-04,false_positive,,,-0.05799185260113293,not_a_failed_drive,2023-11-11,2023-12-01,21,2,4.0,repeated_nonpersistent_alerts,True
2AGN921Y,2023-10-01,2023-12-31,32,0,0.886135481841592,0.872734014259206,,0.886135481841592,0.872734014259206,32,True,32,2023-10-01,True,32,2023-10-01,false_positive,,,-0.186135481841592,not_a_failed_drive,2023-10-01,2023-12-31,92,5,0.0,repeated_nonpersistent_alerts,True
2AGN9W7Y,2023-10-01,2023-10-30,9,0,0.9742562429665282,0.9517452278726461,,0.9742562429665282,0.9517452278726461,9,True,9,2023-10-01,True,9,2023-10-01,false_positive,,,-0.2742562429665283,not_a_failed_drive,2023-10-01,2023-10-30,30,2,0.0,repeated_nonpersistent_alerts,True
2AGNMWYY,2023-10-02,2023-12-26,21,0,0.9975146949629239,0.5177422162531997,,0.9975146949629239,0.5177422162531997,21,True,7,2023-11-26,True,7,2023-11-26,false_positive,,,-0.29751469496292393,not_a_failed_drive,2023-11-26,2023-12-26,31,1,0.0,repeated_nonpersistent_alerts,True
2AGP6ASY,2023-10-02,2023-12-25,26,0,0.9998055723094921,0.9998055723094921,,0.9998055723094921,0.9998055723094921,26,True,26,2023-10-02,True,26,2023-10-02,false_positive,,,-0.2998055723094921,not_a_failed_drive,2023-10-02,2023-12-25,85,3,0.0,repeated_nonpersistent_alerts,True
2AGPJ7RY,2023-10-06,2023-12-27,23,0,0.8400993923522048,0.805907231790954,,0.8400993923522048,0.805907231790954,23,True,23,2023-10-06,True,23,2023-10-06,false_positive,,,-0.1400993923522048,not_a_failed_drive,2023-10-06,2023-12-27,83,3,0.0,repeated_nonpersistent_alerts,True
2AGPJKBY,2023-10-03,2023-12-31,25,0,0.9839183438101565,0.9825891984938085,,0.9839183438101565,0.9825891984938085,25,True,25,2023-10-03,True,25,2023-10-03,false_positive,,,-0.28391834381015657,not_a_failed_drive,2023-10-03,2023-12-31,90,2,0.0,repeated_nonpersistent_alerts,True
2AGPKTWY,2023-10-03,2023-12-29,29,0,0.9970638567936112,0.9970638567936112,,0.9970638567936112,0.9970638567936112,29,True,29,2023-10-03,True,29,2023-10-03,false_positive,,,-0.29706385679361125,not_a_failed_drive,2023-10-03,2023-12-29,88,4,0.0,repeated_nonpersistent_alerts,True
2AGPL25Y,2023-10-01,2023-12-31,30,0,0.9847807561323202,0.9375313242673722,,0.9847807561323202,0.9375313242673722,30,True,30,2023-10-01,True,30,2023-10-01,false_positive,,,-0.28478075613232023,not_a_failed_drive,2023-10-01,2023-12-31,92,3,0.0,repeated_nonpersistent_alerts,True
2AGPLT6Y,2023-10-08,2023-12-31,32,0,0.9996168032829376,0.9995214353689654,,0.9996168032829376,0.9995214353689654,32,True,32,2023-10-08,True,32,2023-10-08,false_positive,,,-0.2996168032829376,not_a_failed_drive,2023-10-08,2023-12-31,85,4,0.0,repeated_nonpersistent_alerts,True
2AGPPHEY,2023-10-02,2023-12-30,33,0,0.853047478862219,0.42605614815370174,,0.853047478862219,0.42605614815370174,33,True,2,2023-12-29,True,24,2023-10-20,false_positive,,,-0.15304747886221903,not_a_failed_drive,2023-12-29,2023-12-30,2,2,0.0,short_alert_burst,True
2AGPR6AY,2023-10-01,2023-12-25,17,0,0.9675642344496984,0.9675642344496985,,0.9675642344496984,0.9675642344496985,17,True,17,2023-10-01,True,17,2023-10-01,false_positive,,,-0.26756423444969846,not_a_failed_drive,2023-10-01,2023-12-25,86,2,0.0,repeated_nonpersistent_alerts,True
2AGPS6DY,2023-10-05,2023-12-30,23,0,1.0,0.9999999999999999,,1.0,0.9999999999999999,23,True,23,2023-10-05,True,23,2023-10-05,false_positive,,,-0.30000000000000004,not_a_failed_drive,2023-10-05,2023-12-30,87,2,0.0,repeated_nonpersistent_alerts,True
2AGPSHUY,2023-10-02,2023-10-17,6,0,0.9999999999997535,0.949398672843372,,0.9999999999997535,0.949398672843372,6,True,6,2023-10-02,True,6,2023-10-02,false_positive,,,-0.2999999999997536,not_a_failed_drive,2023-10-02,2023-10-17,16,2,0.0,repeated_nonpersistent_alerts,True
2BH4VB7N,2023-10-02,2023-12-19,21,0,1.0,0.8098877850304076,,1.0,0.8098877850304076,21,True,13,2023-10-26,True,18,2023-10-09,false_positive,,,-0.30000000000000004,not_a_failed_drive,2023-10-26,2023-12-19,55,3,0.0,repeated_nonpersistent_alerts,True
2BJ34JHN,2023-10-03,2023-12-31,39,0,0.948485105199252,0.9484851051992519,,0.948485105199252,0.9484851051992519,39,True,39,2023-10-03,True,39,2023-10-03,false_positive,,,-0.24848510519925204,not_a_failed_drive,2023-10-03,2023-12-31,90,4,0.0,repeated_nonpersistent_alerts,True
2BJ38V9N,2023-10-01,2023-12-29,31,0,0.9999999991835278,0.5274396641515197,,0.9999999991835278,0.5274396641515197,31,True,9,2023-10-04,True,9,2023-10-04,false_positive,,,-0.2999999991835278,not_a_failed_drive,2023-10-04,2023-10-30,27,3,60.0,repeated_nonpersistent_alerts,False
2BJ9U18D,2023-10-03,2023-12-31,27,0,0.9999927284778417,0.5565431022345827,,0.9999927284778417,0.5565431022345827,27,True,9,2023-12-08,True,9,2023-12-08,false_positive,,,-0.29999272847784175,not_a_failed_drive,2023-12-08,2023-12-31,24,2,0.0,repeated_nonpersistent_alerts,True
2BJAYYYD,2023-10-04,2023-11-08,11,0,0.9999999999999658,0.7980587979314838,,0.9999999999999658,0.7980587979314838,11,True,8,2023-10-17,True,8,2023-10-17,false_positive,,,-0.29999999999996585,not_a_failed_drive,2023-10-17,2023-11-08,23,2,0.0,repeated_nonpersistent_alerts,True
2BJB89VD,2023-10-02,2023-12-31,24,0,0.999155203689314,0.3995805637009778,,0.999155203689314,0.3995805637009778,24,True,3,2023-12-22,True,3,2023-12-22,false_positive,,,-0.29915520368931403,not_a_failed_drive,2023-12-22,2023-12-31,10,1,0.0,repeated_nonpersistent_alerts,True
2BJB8DRD,2023-10-02,2023-12-09,25,0,0.9999369576598479,0.6088242388121882,,0.9999369576598479,0.6088242388121882,25,True,11,2023-11-17,True,12,2023-11-14,false_positive,,,-0.29993695765984796,not_a_failed_drive,2023-11-17,2023-12-09,23,4,0.0,repeated_nonpersistent_alerts,True
2BJBJH6D,2023-10-02,2023-12-28,20,0,0.9999999997542965,0.999999996276016,,0.9999999997542965,0.999999996276016,20,True,20,2023-10-02,True,20,2023-10-02,false_positive,,,-0.2999999997542966,not_a_failed_drive,2023-10-02,2023-12-28,88,4,0.0,repeated_nonpersistent_alerts,True
2BJBY3LD,2023-10-05,2023-12-29,26,0,0.999999995098364,0.6111605521669156,,0.999999995098364,0.6111605521669156,26,True,11,2023-11-30,True,11,2023-11-30,false_positive,,,-0.29999999509836406,not_a_failed_drive,2023-11-30,2023-12-29,30,3,0.0,repeated_nonpersistent_alerts,True
2BJBZ62D,2023-10-05,2023-12-27,18,0,0.9715543464432767,0.5552128550417934,,0.9715543464432767,0.5552128550417934,18,True,6,2023-12-11,True,6,2023-12-11,false_positive,,,-0.2715543464432767,not_a_failed_drive,2023-12-11,2023-12-27,17,2,0.0,repeated_nonpersistent_alerts,True
2BJBZNPD,2023-10-11,2023-12-31,32,0,0.9999999999995899,0.5506105509190489,,0.9999999999995899,0.5506105509190489,32,True,10,2023-12-10,True,11,2023-12-07,false_positive,,,-0.29999999999958993,not_a_failed_drive,2023-12-10,2023-12-31,22,2,0.0,repeated_nonpersistent_alerts,True
2BJBZY0D,2023-10-06,2023-12-31,27,0,0.8660249611490202,0.4155861961564843,,0.8660249611490202,0.4155861961564843,27,True,2,2023-12-30,True,6,2023-12-22,false_positive,,,-0.1660249611490202,not_a_failed_drive,2023-12-30,2023-12-31,2,2,0.0,short_alert_burst,True
2BJD2BWD,2023-10-03,2023-12-08,16,0,0.999999900496867,0.4163645792061306,,0.999999900496867,0.4163645792061306,16,True,2,2023-12-05,True,2,2023-12-05,false_positive,,,-0.2999999004968671,not_a_failed_drive,2023-12-05,2023-12-08,4,1,0.0,short_alert_burst,True
2BJDDHWD,2023-10-04,2023-12-27,27,0,0.9998659735258634,0.5030385071666952,,0.9998659735258634,0.5030385071666952,27,True,8,2023-12-13,True,8,2023-12-13,false_positive,,,-0.2998659735258634,not_a_failed_drive,2023-12-13,2023-12-27,15,4,0.0,repeated_nonpersistent_alerts,True
2BJL7YXD,2023-10-16,2023-12-30,24,0,0.9999999999999984,0.9381396141376958,,0.9999999999999984,0.9381396141376958,24,True,22,2023-10-24,True,22,2023-10-24,false_positive,,,-0.2999999999999985,not_a_failed_drive,2023-10-24,2023-12-30,68,2,0.0,repeated_nonpersistent_alerts,True
2BJP47AN,2023-10-09,2023-12-30,22,0,1.0,0.6438411505496646,,1.0,0.6438411505496646,22,True,10,2023-10-09,True,10,2023-10-09,false_positive,,,-0.30000000000000004,not_a_failed_drive,2023-10-09,2023-11-07,30,2,53.0,repeated_nonpersistent_alerts,False
2CJAKUHN,2023-10-09,2023-12-30,21,0,0.7409477283818927,0.7409477283818927,,0.7409477283818927,0.7409477283818927,21,True,21,2023-10-09,True,21,2023-10-09,false_positive,,,-0.040947728381892756,not_a_failed_drive,2023-10-09,2023-12-30,83,1,0.0,repeated_nonpersistent_alerts,True
2CJB6EUJ,2023-10-02,2023-12-25,24,0,0.7375204972074509,0.5968534806158258,,0.7375204972074509,0.5968534806158258,24,True,6,2023-10-02,True,24,2023-10-02,false_positive,,,-0.03752049720745099,not_a_failed_drive,2023-10-02,2023-10-22,21,3,64.0,repeated_nonpersistent_alerts,False
2CJTZ39N,2023-10-02,2023-12-31,27,0,0.948485105199252,0.9259577145777906,,0.948485105199252,0.9259577145777906,27,True,27,2023-10-02,True,27,2023-10-02,false_positive,,,-0.24848510519925204,not_a_failed_drive,2023-10-02,2023-12-31,91,3,0.0,repeated_nonpersistent_alerts,True
2CK69JBN,2023-10-04,2023-12-28,29,0,0.9742217290838695,0.5577263343294739,,0.9742217290838695,0.5577263343294739,29,True,10,2023-11-29,True,10,2023-11-29,false_positive,,,-0.27422172908386955,not_a_failed_drive,2023-11-29,2023-12-28,30,2,0.0,repeated_nonpersistent_alerts,True
2CKEJZBN,2023-10-02,2023-12-31,31,0,0.8021652023491624,0.5993993110935885,,0.8021652023491624,0.5993993110935885,31,True,17,2023-10-02,True,18,2023-10-02,false_positive,,,-0.10216520234916249,not_a_failed_drive,2023-10-02,2023-11-18,48,4,43.0,repeated_nonpersistent_alerts,False
2CKHGE3N,2023-10-04,2023-12-31,33,0,0.7379429430501359,0.7379429430501359,,0.7379429430501359,0.7379429430501359,33,True,33,2023-10-04,True,33,2023-10-04,false_positive,,,-0.0379429430501359,not_a_failed_drive,2023-10-04,2023-12-31,89,4,0.0,repeated_nonpersistent_alerts,True
2EG84ZNR,2023-10-04,2023-11-30,18,0,1.0,1.0,,1.0,1.0,18,True,18,2023-10-04,True,18,2023-10-04,false_positive,,,-0.30000000000000004,not_a_failed_drive,2023-10-04,2023-11-30,58,3,0.0,repeated_nonpersistent_alerts,True
